x,y
-356.1834111,-51.7738062
-357.0185952,-51.2239981
-357.8537714,-50.6741779
-358.6889396,-50.1243456
-359.5240998,-49.574501
-360.3592518,-49.0246442
-361.1943958,-48.474775
-362.0295316,-47.9248935
-362.8646592,-47.3749995
-363.6997785,-46.825093
-364.5348896,-46.2751739
-365.3699924,-45.7252422
-366.2050868,-45.1752978
-367.0401728,-44.6253407
-367.8752503,-44.0753707
-368.7103194,-43.5253878
-369.54538,-42.975392
-370.3804319,-42.4253832
-371.2154753,-41.8753614
-372.0505101,-41.3253264
-372.8855361,-40.7752782
-373.7205535,-40.2252168
-374.5555621,-39.6751421
-375.3905618,-39.1250541
-376.2255528,-38.5749526
-377.0605348,-38.0248376
-377.8955079,-37.4747091
-378.7304721,-36.9245669
-379.5654272,-36.3744111
-380.4003733,-35.8242416
-381.2353103,-35.2740582
-382.0702382,-34.7238611
-382.9051569,-34.17365
-383.7400664,-33.6234249
-384.5749667,-33.0731858
-385.4098576,-32.5229326
-386.2447393,-31.9726653
-387.0796115,-31.4223837
-387.9144744,-30.8720879
-388.7493278,-30.3217777
-389.5841717,-29.7714531
-390.4190061,-29.2211141
-391.2538309,-28.6707605
-392.0886461,-28.1203923
-392.9234516,-27.5700096
-393.7582475,-27.0196121
-394.5930336,-26.4691998
-395.42781,-25.9187728
-396.2625765,-25.3683308
-397.0973332,-24.8178739
-397.9320799,-24.267402
-398.7668168,-23.716915
-399.6015436,-23.1664129
-400.4362605,-22.6158956
-401.2709673,-22.065363
-402.1056639,-21.5148152
-402.9403505,-20.964252
-403.7750269,-20.4136733
-404.609693,-19.8630792
-405.4443489,-19.3124694
-406.2789945,-18.7618441
-407.1136297,-18.2112031
-407.9482546,-17.6605464
-408.7828691,-17.1098739
-409.617473,-16.5591855
-410.4520665,-16.0084812
-411.2866495,-15.4577609
-412.1212218,-14.9070246
-412.9557835,-14.3562722
-413.7903346,-13.8055036
-414.6248749,-13.2547188
-415.4594046,-12.7039177
-416.2939234,-12.1531003
-417.1284314,-11.6022665
-417.9629285,-11.0514162
-418.7974147,-10.5005493
-419.63189,-9.9496659
-420.4663543,-9.3987659
-421.3008075,-8.8478491
-422.1352497,-8.2969156
-422.9696808,-7.7459653
-423.8041007,-7.194998
-424.6385094,-6.6440138
-425.4729069,-6.0930126
-426.3072932,-5.5419944
-427.1416681,-4.990959
-427.9760316,-4.4399064
-428.8103838,-3.8888365
-429.6447245,-3.3377494
-430.4790538,-2.7866449
-431.3133715,-2.2355229
-432.1476777,-1.6843834
-432.9819723,-1.1332264
-433.8162552,-0.5820518
-434.6505265,-0.0308595
-435.484786,0.5203506
-436.3190338,1.0715784
-437.1532698,1.6228241
-437.987494,2.1740877
-438.8217062,2.7253693
-439.6559066,3.276669
-440.4900949,3.8279867
-441.3242713,4.3793226
-442.1584357,4.9306767
-442.9925879,5.4820491
-443.826728,6.0334399
-444.660856,6.584849
-445.4949717,7.1362766
-446.3290753,7.6877228
-447.1631665,8.2391875
-447.9972454,8.7906709
-448.8313119,9.3421729
-449.665366,9.8936938
-450.4994077,10.4452334
-451.3334369,10.996792
-452.1674535,11.5483695
-453.0014576,12.099966
-453.835449,12.6515816
-454.6694278,13.2032163
-455.503394,13.7548702
-456.3373473,14.3065433
-457.1712879,14.8582358
-458.0052157,15.4099476
-458.8391307,15.9616789
-459.6730327,16.5134296
-460.5069218,17.0651999
-461.3407979,17.6169898
-462.174661,18.1687994
-463.0085111,18.7206287
-463.842348,19.2724779
-464.6761719,19.8243468
-465.5099825,20.3762357
-466.3437799,20.9281446
-467.177564,21.4800735
-468.0113349,22.0320225
-468.8450924,22.5839916
-469.6788365,23.135981
-470.5125672,23.6879906
-471.3462844,24.2400206
-472.1799881,24.792071
-473.0136783,25.3441418
-473.8473548,25.8962332
-474.6810178,26.4483451
-475.5146671,27.0004777
-476.3483026,27.552631
-477.1819245,28.104805
-478.0155325,28.6569998
-478.8491267,29.2092156
-479.682707,29.7614522
-480.5162734,30.3137099
-481.3498259,30.8659886
-482.1833644,31.4182885
-483.0168888,31.9706095
-483.8503991,32.5229518
-484.6838954,33.0753154
-485.5173775,33.6277004
-486.3508453,34.1801067
-487.184299,34.7325346
-488.0177383,35.284984
-488.8511634,35.837455
-489.6845741,36.3899476
-490.5179703,36.942462
-491.3513522,37.4949982
-492.1847195,38.0475562
-493.0180724,38.6001361
-493.8514106,39.152738
-494.6847343,39.7053619
-495.5180433,40.2580079
-496.3513376,40.810676
